Name,Functional Group,Default
Diploastrea heliopora,Hard coral,DiplHel
Diploria labyrinthiformis,Hard coral,DiplLab
Dipsastraea,Hard coral,Dipsa
Dipsastraea_encrusting,Hard coral,dipenc
Dipsastraea favus,Hard coral,DipsFav
Dipsastraea_massive,Hard coral,dipmas
Dipsastraea matthai,Hard coral,DipsMatt
Dipsastraea maxima,Hard coral,DipsMax
Dipsastraea pallida,Hard coral,DipsPal
Dipsastraea speciosa,Hard coral,DipsSpe
Dipsastraea veroni,Hard coral,DipsVer
Diseased Coral,Hard coral,DISCORAL
Distichopora,Hard coral,Distcho
Distochopora,Hard coral,DIST
Echinophyllia,Hard coral,Echinophyl
Echinophyllia aspera,Hard coral,EcAsp
Echinophyllia_encrusting,Hard coral,echenc
Echinophyllia_massive,Hard coral,echmas
Echinopora,Hard coral,Echinopora
Echinopora Branching,Hard coral,ECHIBR
Echinopora_encrusting,Hard coral,ecoenc
Echinopora_foliose,Hard coral,ecofol
Echinopora lamellosa,Hard coral,Ech_lam
Encrusting Coral (PALE),Hard coral,PEncr
Encrusting Coscinaraea species,Hard coral,Cos_Enc
Encrusting gorgonians,Hard coral,ENGR
Erythrastrea,Hard coral,Eryth
Euphyllia,Hard coral,Euphyllia
Euphyllia_massive,Hard coral,eupmas
Eusmilia fastigiata,Hard coral,EFAS
Favia,Hard coral,fav
Favia Columnar,Hard coral,FavCol
Favia Encrusting,Hard coral,FavEnc
Favia fragum,Hard coral,FaviaFrag
Favia gravida,Hard coral,FAVG
